,city,15,24,27,coordinates
212,Заинск,94.0,,,"[52.000427, 55.283928]"
213,Закаменск,41.0,,,"[103.286764, 50.372602]"
214,Заречный,193.0,,,"[45.169071, 53.196088]"
215,Заречный,193.0,,,"[61.320349, 56.814966]"
216,Заринск,85.0,,,"[84.931488, 53.706337]"
217,Зверево,73.0,,,"[40.12301, 48.021693]"
218,Зеленогорск,78.0,,,"[94.588844, 56.113291]"
219,Зеленодольск,692.0,,,"[48.492802, 55.847048]"
220,Зима,129.0,,,"[102.049065, 53.920725]"
221,Зимовники,60.0,,,"[42.46772, 47.145376]"
222,Златоуст,873.0,,,"[59.672425, 55.173113]"
223,Зырянское,50.0,,,"[86.625504, 56.829069]"
224,Иваново,3932.0,136.0,4193.0,"[40.97393, 57.000353]"
225,Ивантеевка,108.0,,,"[37.907414, 55.976201]"
226,Ивантеевка,108.0,,,"[49.100323, 52.265172]"
227,Игарка,22.0,,,"[86.567662, 67.46694]"
228,Иглино,68.0,,,"[56.416176, 54.834496]"
229,Игрим,78.0,,,"[64.421944, 63.196228]"
230,Ижевск,8189.0,1091.0,2088.0,"[53.2069, 56.852676]"
231,Инза,57.0,,,"[46.351649, 53.85704]"
232,Инсар,19.0,,,"[44.372248, 53.866513]"
233,Ипатово,70.0,,,"[42.911156, 45.717425]"
234,Ирбит,137.0,,,"[63.054079, 57.68507]"
235,Иркутск,8636.0,3647.0,2841.0,"[104.280606, 52.289588]"
236,Ирша,119.0,,,"[94.799841, 55.927644]"
237,Исилькуль,59.0,,,"[71.262453, 54.913914]"
238,Искитим,135.0,,,"[83.306391, 54.642587]"
239,Истра,58.0,,,"[36.859017, 55.91466]"
240,Исянгулово,27.0,,,"[56.573839, 52.192177]"
241,Ишим,139.0,,,"[69.457073, 56.109175]"
242,Ишимбай,1838.0,,,"[56.04395, 53.454626]"
243,Йошкар-Ола,4144.0,,2727.0,"[47.886178, 56.6316]"
244,Кадом,60.0,,,"[42.467244, 54.559078]"
245,Казанская,41.0,,,"[41.137046, 49.794468]"
246,Казань,16362.0,13598.0,16691.0,"[49.106414, 55.796127]"
247,Калачинск,54.0,,,"[74.581782, 55.052613]"
248,Калининград,2940.0,,,"[20.510137, 54.710162]"
249,Калиновка,138.0,,,"[34.51118, 51.896474]"
250,Калиновка,138.0,,,"[35.746525, 45.321463]"
251,Калиновская,68.0,,,"[45.521372, 43.574286]"
252,Калтан,37.0,,,"[87.27716, 53.521088]"
253,Калуга,5828.0,,3663.0,"[36.261224, 54.513845]"
254,Калязин,95.0,,,"[37.828308, 57.241069]"
255,Камбарка,75.0,,,"[54.193475, 56.266957]"
256,Каменка,103.0,,92.0,"[44.046878, 53.185557]"
257,Каменск-Уральский,788.0,,127.0,"[61.917764, 56.41524]"
258,Каменск-Шахтинский,937.0,,343.0,"[40.269534, 48.323133]"
259,Камень-на-Оби,84.0,,,"[81.354558, 53.791492]"
260,Камызяк,63.0,,,"[48.067548, 46.114432]"
261,Камышин,857.0,,,"[45.402166, 50.085287]"
262,Камышлов,94.0,,,"[62.707464, 56.843988]"
263,Канаш,363.0,,,"[47.491764, 55.506943]"
264,Кандалакша,83.0,,,"[32.412832, 67.151256]"
265,Канск,221.0,,,"[95.705064, 56.20505]"
266,Карабаш,29.0,,,"[60.203087, 55.488371]"
267,Каран,46.0,,,"[55.917054, 52.926812]"
268,Карасук,134.0,,,"[78.04936, 53.731934]"
269,Карачев,310.0,,,"[34.982805, 53.121594]"
270,Каргинская,67.0,,,"[41.637632, 49.353477]"
271,Карпинск,89.0,,,"[60.001074, 59.766633]"
272,Карсун,53.0,,,"[46.980766, 54.200786]"
273,Карталы,512.0,,,"[60.639462, 53.053308]"
274,Касимов,166.0,,,"[41.391368, 54.937288]"
275,Касли,39.0,,,"[60.757411, 55.897337]"
276,Каспийск,395.0,,,"[47.635665, 42.890853]"
277,Катав-Ивановск,82.0,,,"[58.205836, 54.753513]"
278,Катайск,40.0,,,"[62.58365, 56.283235]"
279,Кашира,,,110.0,"[38.15154, 54.834589]"
280,Кемерово,6879.0,,2149.0,"[86.086847, 55.355198]"
281,Кемля,69.0,,,"[45.244063, 54.695216]"
282,Керчь,500.0,,,"[36.467378, 45.356219]"
283,Кизел,39.0,,,"[57.653875, 59.04943]"
284,Кизильское,64.0,,,"[58.899641, 52.722801]"
285,Кизляр,276.0,,,"[46.710338, 43.850312]"
286,Ким,81.0,,,"[54.612188, 53.897122]"
287,Кимры,143.0,,61.0,"[37.358274, 56.872659]"
288,Кингисепп,103.0,,,"[28.601209, 59.378053]"
289,Кинешма,89.0,,,"[42.169525, 57.443126]"
290,Киржач,82.0,,,"[38.871585, 56.161945]"
291,Кириши,137.0,,,"[32.008716, 59.449695]"
292,Киров,7884.0,,4079.0,"[34.307999, 54.079614]"
293,Киров,7884.0,,4079.0,"[49.668023, 58.603595]"
294,Кировград,30.0,,,"[60.062321, 57.431916]"
295,Кирово-Чепецк,68.0,,,"[50.043941, 58.556581]"
296,Кировск,242.0,,,"[30.981457, 59.87533]"
297,Кировск,242.0,,,"[33.668237, 67.61206]"
298,Кирс,25.0,,,"[52.241516, 59.339991]"
299,Киселевск,159.0,,,"[86.636688, 54.006025]"
300,Кисловодск,139.0,,34.0,"[42.715718, 43.905518]"
301,Кичкасс,65.0,,,"[54.407956, 52.31639]"
302,Клинцы,121.0,,,"[32.233852, 52.753143]"
303,Ковров,3004.0,,848.0,"[41.310933, 56.362506]"
304,Ковылкино,68.0,,,"[43.91505, 54.0379]"
305,Когалым,61.0,,,"[74.482761, 62.264069]"
306,Кодинск,51.0,,,"[99.179712, 58.603412]"
307,Кожевниково,27.0,,,"[83.968862, 56.259493]"
308,Козулька,33.0,,,"[91.391983, 56.165469]"
309,Коломна,998.0,,498.0,"[38.765556, 55.095956]"
310,Колышлей,44.0,,,"[44.530944, 52.697617]"
311,Кольчугино,87.0,,,"[39.376501, 56.293647]"
312,Коммунар,74.0,,,"[30.393483, 59.621609]"
313,Коммунар,74.0,,,"[37.738602, 51.850795]"
314,Комсомольск-на-Амуре,2495.0,2513.0,1435.0,"[137.008685, 50.550055]"
315,Комсомольский,56.0,,,"[45.827967, 54.440497]"
316,Конаково,51.0,,,"[36.779354, 56.713242]"
317,Копейск,207.0,,,"[61.611574, 55.115697]"
318,Кораблино,56.0,,,"[40.034463, 53.926817]"
319,Кореновск,213.0,,,"[39.448033, 45.462742]"
320,Коркино,214.0,,,"[61.393049, 54.892493]"
321,Королев,540.0,389.0,,"[37.815211, 55.918953]"
322,Королёв,1552.0,1382.0,3054.0,"[37.815211, 55.918953]"
323,Коряжма,59.0,,,"[47.159864, 61.315335]"
324,Костомукша,85.0,,,"[30.596637, 64.587358]"
325,Кострома,2410.0,,1029.0,"[40.926894, 57.767918]"
326,Котлас,120.0,,,"[46.633226, 61.252975]"
327,Котовск,61.0,,,"[41.50575, 52.59292]"
328,Красная Пойма,92.0,,,"[39.081889, 55.003105]"
329,Красноармейск,39.0,,,"[38.141578, 56.120342]"
330,Красноармейск,39.0,,,"[45.695178, 51.023973]"
331,Красноармейское,37.0,,,"[50.034823, 52.710292]"
332,Красноборск,49.0,,,"[45.944111, 61.55949]"
333,Красновишерск,10.0,,,"[57.083301, 60.412825]"
334,Красногорск,152.0,,,"[37.330399, 55.831003]"
335,Краснодар,6248.0,,5076.0,"[38.975313, 45.03547]"
336,Красное Поле,78.0,,,"[40.693691, 44.894224]"
337,Краснокаменск,155.0,,73.0,"[118.034146, 50.098683]"
338,Краснокамск,108.0,,,"[55.736376, 58.078362]"
339,Красномайский,98.0,,,"[34.414818, 57.62227]"
340,Краснотурьинск,64.0,,,"[60.193574, 59.763534]"
341,Красноуральск,53.0,,,"[60.038749, 58.356726]"
342,Красноуфимск,147.0,,,"[57.770791, 56.617928]"
343,Красноярск,8199.0,1026.0,8148.0,"[92.852572, 56.010569]"
344,Красные Баки,24.0,,,"[45.166619, 57.127364]"
345,Красный Октябрь,19.0,,,"[64.811292, 55.652695]"
346,Красный Сулин,137.0,,,"[40.057495, 47.893519]"
347,Красный Яр,32.0,,,"[48.021312, 56.033435]"
348,Красный Яр,32.0,,,"[50.389343, 53.498062]"
349,Красный Яр,32.0,,,"[48.349233, 46.534259]"
350,Кропоткин,232.0,,,"[40.576003, 45.434693]"
351,Крымск,398.0,,,"[37.987894, 44.935414]"
352,Кстово,217.0,,,"[44.206805, 56.150665]"
353,Кубанский,72.0,,,"[40.58009, 45.92922]"
354,Кудымкар,197.0,,,"[54.664183, 59.014548]"
355,Кузнецк,239.0,,,"[46.601174, 53.119335]"
356,Куйбышев,116.0,,,"[78.311111, 55.445972]"
357,Кулебаки,102.0,,,"[42.512492, 55.429716]"
358,Кулун,42.0,,,"[89.783666, 55.332673]"
359,Кумертау,1197.0,488.0,,"[55.796698, 52.756185]"
360,Кунгур,69.0,,,"[56.944215, 57.42881]"
361,Курган,2498.0,,1345.0,"[65.341118, 55.441004]"
362,Курск,4401.0,,549.0,"[36.193015, 51.730846]"
363,Кущевская,74.0,,,"[39.628191, 46.565699]"
364,Кызыл,444.0,,,"[94.43799, 51.71989]"
365,Кыштым,102.0,,,"[60.538958, 55.707882]"
366,Лабинск,124.0,,,"[40.723578, 44.635715]"
367,Лабытнанги,126.0,,,"[66.37993, 66.660883]"
368,Лагань,77.0,,,"[47.354142, 45.392903]"
369,Лангепас,90.0,,,"[75.180725, 61.253706]"
370,Ленинградская,100.0,,,"[39.392886, 46.320553]"
371,Лениногорск,983.0,,,"[52.442676, 54.599028]"
372,Ленинск,105.0,,,"[45.199228, 48.693682]"
373,Ленск,156.0,,,"[114.911853, 60.713735]"
374,Лесной,837.0,,268.0,"[59.79863, 58.635513]"
375,Лесосибирск,754.0,,,"[92.503666, 58.221733]"
376,Ливны,807.0,,,"[37.60805, 52.426549]"
377,Ликино-Дулево,277.0,,,"[38.958712, 55.707086]"
378,Липецк,4534.0,,1856.0,"[39.599229, 52.608826]"
379,Лиски,215.0,,150.0,"[39.497099, 50.987304]"
380,Луга,62.0,,,"[29.847945, 58.735207]"
381,Луховицы,108.0,,,"[39.02605, 54.96515]"
382,Лысково,67.0,,,"[45.040971, 56.021362]"
383,Лысьва,790.0,,112.0,"[57.811664, 58.100417]"
384,Лыткарино,112.0,,,"[37.908986, 55.579302]"
385,Люберцы,95.0,,,"[37.893328, 55.676748]"
386,Любим,40.0,,,"[40.686882, 58.362004]"
387,Лянтор,115.0,,,"[72.155361, 61.620667]"
388,Магадан,101.0,,,"[150.808586, 59.565155]"
389,Магнитогорск,4564.0,,2407.0,"[58.980291, 53.407163]"
390,Майкоп,1040.0,,1782.0,"[40.105852, 44.606683]"
391,Майский,85.0,,,"[44.051756, 43.628254]"
392,Майский,85.0,,,"[36.455233, 50.523238]"
393,Максатиха,21.0,,,"[35.869864, 57.795725]"
394,Малояз,54.0,,,"[58.155889, 55.179724]"
395,Мангут,24.0,,,"[112.672713, 49.695882]"
396,Массандра,148.0,,,"[34.186035, 44.514701]"
397,Махачкала,651.0,,322.0,"[47.504745, 42.9831]"
398,Мегион,79.0,,,"[76.102621, 61.03289]"
399,Медвенка,28.0,,,"[36.109148, 51.419546]"
400,Медногорск,133.0,,,"[57.582944, 51.403446]"
401,Междуреченск,156.0,,,"[88.080398, 53.685199]"
402,Междуреченский,38.0,,,"[65.900364, 59.596753]"
403,Мелеуз,1410.0,,18.0,"[55.927672, 52.959143]"
404,Миасс,771.0,779.0,1045.0,"[60.109599, 55.050432]"
405,Микунь,110.0,,,"[50.082532, 62.356493]"
406,Миллерово,47.0,,,"[40.394849, 48.92173]"
407,Минеральные Воды,,,433.0,"[43.13834, 44.208806]"
408,Мирный,96.0,,55.0,"[113.978701, 62.541028]"
409,Мирный,96.0,,55.0,"[40.326613, 62.761555]"
410,Мирный,96.0,,55.0,"[61.733762, 55.251501]"
411,Михайловка,281.0,,,"[43.23445, 50.07938]"
412,Михайловка,281.0,,,"[55.889629, 54.807658]"
413,Михайловск,104.0,,,"[59.125926, 56.444862]"
414,Михайловск,104.0,,,"[42.028803, 45.129667]"
415,Михайловское,67.0,,,"[44.62975, 43.099153]"
416,Михайловское,67.0,,,"[79.721223, 51.820014]"
417,Мичуринск,451.0,,656.0,"[40.49802, 52.893913]"
418,Мичуринский,209.0,,,"[34.235424, 53.274777]"
419,Можга,71.0,,,"[52.213022, 56.440244]"
420,Моздок,100.0,,105.0,"[44.653887, 43.735433]"
421,Моздок,100.0,,105.0,"[44.653887, 43.735433]"
422,Мончегорск,86.0,,111.0,"[32.937071, 67.938921]"
423,Москва,57536.0,9783.0,60524.0,"[37.617644, 55.755819]"
424,Московское,85.0,,,"[41.918652, 45.284999]"
425,Мраково,27.0,,,"[56.621163, 52.715502]"
426,Муравленко,86.0,,,"[74.494457, 63.795285]"
427,Мурманск,1224.0,,442.0,"[33.074918, 68.970663]"
428,Муром,1368.0,,,"[42.052411, 55.579174]"
429,Мценск,313.0,,,"[36.575006, 53.278939]"
430,Мыски,,,158.0,"[87.805747, 53.712514]"
431,Мытищи,3871.0,1313.0,1423.0,"[37.736743, 55.909968]"
432,Набережные Челны,8410.0,,1560.0,"[52.403662, 55.741272]"
433,Надеждино,24.0,,,"[50.373479, 54.117218]"
434,Надым,107.0,,,"[72.540055, 65.527025]"
435,Назарово,164.0,,,"[90.417697, 56.012345]"
436,Называевск,65.0,,,"[71.349186, 55.564821]"
437,Нальчик,1472.0,,1493.0,"[43.607081, 43.485259]"
438,Наро-Фоминск,99.0,,,"[36.72285, 55.383838]"
439,Нарьян-Мар,44.0,,39.0,"[53.006926, 67.63805]"
440,Наумовка,85.0,,,"[55.91709, 53.519964]"
441,Находка,315.0,,,"[132.89282, 42.824043]"
442,Невель,36.0,,,"[29.91725, 56.017483]"
443,Невельск,213.0,,,"[141.856596, 46.671673]"
444,Невинномысск,1818.0,,,"[41.936061, 44.638287]"
445,Невьянск,86.0,,,"[60.218251, 57.491225]"
446,Нелидово,45.0,,,"[32.772042, 56.225553]"
447,Нерчинск,150.0,,,"[116.585693, 51.977058]"
448,Нерюнгри,160.0,,91.0,"[124.712311, 56.657717]"
449,Нефтегорск,42.0,,,"[51.163808, 52.797221]"
450,Нефтекамск,706.0,,25.0,"[54.247751, 56.088483]"
451,Нефтеюганск,369.0,,155.0,"[72.616403, 61.088255]"
452,Нижневартовск,844.0,,17.0,"[76.558902, 60.938545]"
453,Нижнекамск,1276.0,,721.0,"[51.819712, 55.637576]"
454,Нижнеудинск,125.0,,,"[99.026387, 54.901238]"
455,Нижний Бестях,136.0,,,"[129.907763, 61.95847]"
456,Нижний Ломов,125.0,,,"[43.672999, 53.530049]"
457,Нижний Новгород,9032.0,2572.0,5184.0,"[44.006516, 56.326797]"
458,Нижний Тагил,1518.0,,416.0,"[59.971474, 57.907562]"
459,Нижняя Салда,39.0,,,"[60.716331, 58.07149]"
460,Никель,40.0,,,"[30.210065, 69.410035]"
461,Николаевка,36.0,,,"[47.207986, 53.129051]"
462,Николаевск,72.0,,,"[45.45911, 50.025878]"
463,Николаевск-на-Амуре,33.0,,,"[140.713795, 53.14025]"
